[13/04/2017 14:40:53,935] [] [INFO] [org.apache.camel.spring.spi.BridgePropertyPlaceholderConfigurer]:172 - Loading properties file from class path resource [properties/application-localhost.properties]
[13/04/2017 14:40:54,079] [] [INFO] [org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor]:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[13/04/2017 14:40:54,420] [] [INFO] [org.apache.camel.spring.spi.BridgePropertyPlaceholderConfigurer]:172 - Loading properties file from class path resource [properties/application-localhost.properties]
[13/04/2017 14:40:54,605] [] [INFO] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker]:309 - Bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[13/04/2017 14:40:55,352] [] [INFO] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker]:309 - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[13/04/2017 14:40:54,617] [] [INFO] [org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor]:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[13/04/2017 14:40:55,576] [] [INFO] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker]:309 - Bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[13/04/2017 14:40:55,641] [] [INFO] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker]:309 - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[13/04/2017 14:40:55,861] [] [INFO] [org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager]:498 - Found explicit default unit with name 'mainPU' in persistence.xml - overriding local default unit settings ('packagesToScan'/'mappingResources')
[13/04/2017 14:40:55,863] [] [INFO] [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean]:339 - Building JPA container EntityManagerFactory for persistence unit 'mainPU'
[13/04/2017 14:40:56,018] [] [INFO] [org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager]:498 - Found explicit default unit with name 'mainPU' in persistence.xml - overriding local default unit settings ('packagesToScan'/'mappingResources')
[13/04/2017 14:40:56,036] [] [INFO] [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean]:339 - Building JPA container EntityManagerFactory for persistence unit 'mainPU'
[13/04/2017 14:40:56,091] [] [INFO] [org.apache.camel.spring.spi.BridgePropertyPlaceholderConfigurer]:172 - Loading properties file from class path resource [properties/application-localhost.properties]
[13/04/2017 14:40:56,125] [] [INFO] [org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor]:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[13/04/2017 14:40:56,529] [] [INFO] [org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager]:498 - Found explicit default unit with name 'mainPU' in persistence.xml - overriding local default unit settings ('packagesToScan'/'mappingResources')
[13/04/2017 14:40:56,530] [] [INFO] [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean]:339 - Building JPA container EntityManagerFactory for persistence unit 'mainPU'
[13/04/2017 14:40:57,169] [] [INFO] [org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager]:498 - Found explicit default unit with name 'mainPU' in persistence.xml - overriding local default unit settings ('packagesToScan'/'mappingResources')
[13/04/2017 14:40:57,174] [] [INFO] [org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager]:498 - Found explicit default unit with name 'mainPU' in persistence.xml - overriding local default unit settings ('packagesToScan'/'mappingResources')
[13/04/2017 14:40:57,190] [] [INFO] [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean]:339 - Building JPA container EntityManagerFactory for persistence unit 'mainPU'
[13/04/2017 14:40:57,191] [] [INFO] [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean]:339 - Building JPA container EntityManagerFactory for persistence unit 'mainPU'
[13/04/2017 14:40:57,256] [] [INFO] [org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager]:498 - Found explicit default unit with name 'mainPU' in persistence.xml - overriding local default unit settings ('packagesToScan'/'mappingResources')
[13/04/2017 14:40:57,281] [] [INFO] [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean]:339 - Building JPA container EntityManagerFactory for persistence unit 'mainPU'
[13/04/2017 14:40:57,600] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:490 - Using JTA UserTransaction: org.jboss.tm.usertx.client.ServerVMClientUserTransaction@2c628d4e
[13/04/2017 14:40:57,605] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:501 - Using JTA TransactionManager: com.arjuna.ats.jbossatx.jta.TransactionManagerDelegate@59a34a37
[13/04/2017 14:40:57,631] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:535 - Using JTA TransactionSynchronizationRegistry: com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionSynchronizationRegistryImple@74b17473
[13/04/2017 14:40:57,644] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:490 - Using JTA UserTransaction: org.jboss.tm.usertx.client.ServerVMClientUserTransaction@2c628d4e
[13/04/2017 14:40:57,648] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:501 - Using JTA TransactionManager: com.arjuna.ats.jbossatx.jta.TransactionManagerDelegate@59a34a37
[13/04/2017 14:40:57,656] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:535 - Using JTA TransactionSynchronizationRegistry: com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionSynchronizationRegistryImple@74b17473
[13/04/2017 14:40:57,701] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:490 - Using JTA UserTransaction: org.jboss.tm.usertx.client.ServerVMClientUserTransaction@2c628d4e
[13/04/2017 14:40:57,702] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:501 - Using JTA TransactionManager: com.arjuna.ats.jbossatx.jta.TransactionManagerDelegate@59a34a37
[13/04/2017 14:40:57,704] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:535 - Using JTA TransactionSynchronizationRegistry: com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionSynchronizationRegistryImple@74b17473
[13/04/2017 14:40:58,746] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:490 - Using JTA UserTransaction: org.jboss.tm.usertx.client.ServerVMClientUserTransaction@2c628d4e
[13/04/2017 14:40:58,747] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:501 - Using JTA TransactionManager: com.arjuna.ats.jbossatx.jta.TransactionManagerDelegate@59a34a37
[13/04/2017 14:40:58,748] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:535 - Using JTA TransactionSynchronizationRegistry: com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionSynchronizationRegistryImple@74b17473
[13/04/2017 14:40:58,873] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:490 - Using JTA UserTransaction: org.jboss.tm.usertx.client.ServerVMClientUserTransaction@2c628d4e
[13/04/2017 14:40:58,922] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:501 - Using JTA TransactionManager: com.arjuna.ats.jbossatx.jta.TransactionManagerDelegate@59a34a37
[13/04/2017 14:40:58,923] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:535 - Using JTA TransactionSynchronizationRegistry: com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionSynchronizationRegistryImple@74b17473
[13/04/2017 14:40:58,961] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:490 - Using JTA UserTransaction: org.jboss.tm.usertx.client.ServerVMClientUserTransaction@2c628d4e
[13/04/2017 14:40:58,972] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:501 - Using JTA TransactionManager: com.arjuna.ats.jbossatx.jta.TransactionManagerDelegate@59a34a37
[13/04/2017 14:40:58,976] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:535 - Using JTA TransactionSynchronizationRegistry: com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionSynchronizationRegistryImple@74b17473
[13/04/2017 14:40:59,652] [] [INFO] [org.apache.camel.spring.CamelContextFactoryBean]:288 - Bridging Camel and Spring property placeholder configurer with id: bridgePropertyPlaceholder
[13/04/2017 14:41:00,617] [] [INFO] [org.apache.camel.spring.spi.BridgePropertyPlaceholderConfigurer]:172 - Loading properties file from class path resource [properties/application-localhost.properties]
[13/04/2017 14:41:00,802] [] [INFO] [org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor]:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
[13/04/2017 14:41:00,919] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:2794 - Apache Camel 2.17.1 (CamelContext: camel) is starting
[13/04/2017 14:41:00,934] [] [INFO] [org.apache.camel.management.ManagedManagementStrategy]:191 - JMX is enabled
[13/04/2017 14:41:01,417] [] [INFO] [org.springframework.orm.jpa.persistenceunit.DefaultPersistenceUnitManager]:498 - Found explicit default unit with name 'mainPU' in persistence.xml - overriding local default unit settings ('packagesToScan'/'mappingResources')
[13/04/2017 14:41:01,418] [] [INFO] [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean]:339 - Building JPA container EntityManagerFactory for persistence unit 'mainPU'
[13/04/2017 14:41:01,675] [] [INFO] [org.apache.camel.impl.converter.DefaultTypeConverter]:56 - Loaded 207 type converters
[13/04/2017 14:41:01,720] [] [INFO] [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean]:339 - Building JPA container EntityManagerFactory for persistence unit 'mainPU'
[13/04/2017 14:41:01,770] [] [INFO] [org.apache.camel.impl.DefaultRuntimeEndpointRegistry]:203 - Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
[13/04/2017 14:41:01,901] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:490 - Using JTA UserTransaction: org.jboss.tm.usertx.client.ServerVMClientUserTransaction@2c628d4e
[13/04/2017 14:41:01,902] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:501 - Using JTA TransactionManager: com.arjuna.ats.jbossatx.jta.TransactionManagerDelegate@59a34a37
[13/04/2017 14:41:01,903] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:535 - Using JTA TransactionSynchronizationRegistry: com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionSynchronizationRegistryImple@74b17473
[13/04/2017 14:41:02,341] [] [INFO] [org.apache.camel.component.seda.SedaEndpoint]:170 - Endpoint Endpoint[seda://slackAlert] is using shared queue: seda://slackAlert with size: 2147483647
[13/04/2017 14:41:02,610] [] [INFO] [org.apache.camel.component.seda.SedaEndpoint]:170 - Endpoint Endpoint[seda://slackAlert?waitForTaskToComplete=Never] is using shared queue: seda://slackAlert with size: 2147483647
[13/04/2017 14:41:03,400] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3033 - AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
[13/04/2017 14:41:03,400] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3043 - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
[13/04/2017 14:41:03,425] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:490 - Using JTA UserTransaction: org.jboss.tm.usertx.client.ServerVMClientUserTransaction@2c628d4e
[13/04/2017 14:41:03,438] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:501 - Using JTA TransactionManager: com.arjuna.ats.jbossatx.jta.TransactionManagerDelegate@59a34a37
[13/04/2017 14:41:03,439] [] [INFO] [org.springframework.transaction.jta.JtaTransactionManager]:535 - Using JTA TransactionSynchronizationRegistry: com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionSynchronizationRegistryImple@74b17473
[13/04/2017 14:41:04,411] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: StopDestinationMapperRoute started and consuming from: Endpoint[servlet:/stopMapper]
[13/04/2017 14:41:04,422] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: slackAlert started and consuming from: Endpoint[seda://slackAlert]
[13/04/2017 14:41:04,424] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: DestinationMapperRoute started and consuming from: Endpoint[servlet:/geoMapper]
[13/04/2017 14:41:04,426] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: route1 started and consuming from: Endpoint[direct://processCountryCodes]
[13/04/2017 14:41:04,428] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: RegionMapperRoute started and consuming from: Endpoint[direct://processRegionMapper]
[13/04/2017 14:41:04,433] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: route2 started and consuming from: Endpoint[direct://singleEANHotelChannel]
[13/04/2017 14:41:04,436] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: route3 started and consuming from: Endpoint[direct://singleBKGHotelChannel]
[13/04/2017 14:41:04,440] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: route4 started and consuming from: Endpoint[direct://singleTRVHotelChannel]
[13/04/2017 14:41:04,441] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:2834 - Total 8 routes, of which 8 are started.
[13/04/2017 14:41:04,446] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:2835 - Apache Camel 2.17.1 (CamelContext: camel) started in 3.522 seconds
[13/04/2017 14:41:04,777] [] [INFO] [org.apache.camel.component.servlet.CamelHttpTransportServlet]:77 - Initialized CamelHttpTransportServlet[name=CamelServlet, contextPath=/destination-mapper]
