[12/04/2017 21:28:14,819] [] [INFO] [org.springframework.web.context.ContextLoader]:305 - Root WebApplicationContext: initialization started
[12/04/2017 21:28:15,002] [] [INFO] [org.springframework.web.context.ContextLoader]:305 - Root WebApplicationContext: initialization started
[12/04/2017 21:28:15,047] [] [INFO] [org.springframework.web.context.ContextLoader]:285 - Root WebApplicationContext: initialization started
[12/04/2017 21:28:16,950] [] [INFO] [org.springframework.web.context.support.XmlWebApplicationContext]:514 - Refreshing Root WebApplicationContext: startup date [Wed Apr 12 21:28:16 CLST 2017]; root of context hierarchy
[12/04/2017 21:28:16,972] [] [INFO] [org.springframework.web.context.support.XmlWebApplicationContext]:578 - Refreshing Root WebApplicationContext: startup date [Wed Apr 12 21:28:16 CLST 2017]; root of context hierarchy
[12/04/2017 21:28:16,979] [] [INFO] [org.springframework.web.context.support.XmlWebApplicationContext]:510 - Refreshing Root WebApplicationContext: startup date [Wed Apr 12 21:28:16 CLST 2017]; root of context hierarchy
[12/04/2017 21:28:32,583] [] [INFO] [org.springframework.web.context.ContextLoader]:305 - Root WebApplicationContext: initialization started
[12/04/2017 21:28:33,742] [] [INFO] [org.springframework.web.context.support.XmlWebApplicationContext]:578 - Refreshing Root WebApplicationContext: startup date [Wed Apr 12 21:28:33 CLST 2017]; root of context hierarchy
[12/04/2017 21:28:47,593] [] [INFO] [org.apache.camel.spring.CamelContextFactoryBean]:288 - Bridging Camel and Spring property placeholder configurer with id: bridgePropertyPlaceholder
[12/04/2017 21:28:47,663] [] [INFO] [org.apache.camel.core.xml.AbstractCamelContextFactoryBean]:261 - Using custom EventNotifier with id: auditEventNotifier and implementation: com.cocha.hotels.util.AuditEventNotifier@24653982
[12/04/2017 21:28:51,096] [] [INFO] [org.apache.camel.impl.converter.DefaultTypeConverter]:56 - Loaded 218 type converters
[12/04/2017 21:28:51,327] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:2794 - Apache Camel 2.17.1 (CamelContext: camel) is starting
[12/04/2017 21:28:51,332] [] [INFO] [org.apache.camel.management.ManagedManagementStrategy]:191 - JMX is enabled
[12/04/2017 21:28:51,493] [] [WARN] [org.apache.camel.management.DefaultManagementLifecycleStrategy]:178 - This CamelContext(camel) will be registered using the name: camel-2 due to clash with an existing name already registered in MBeanServer.
[12/04/2017 21:28:51,751] [] [INFO] [org.apache.camel.impl.DefaultRuntimeEndpointRegistry]:203 - Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
[12/04/2017 21:28:53,056] [] [INFO] [org.apache.camel.component.jpa.JpaComponent]:134 - Using EntityManagerFactory configured: org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean@4827f0c8
[12/04/2017 21:28:53,059] [] [INFO] [org.apache.camel.component.jpa.JpaComponent]:150 - Using TransactionManager configured on this component: org.springframework.transaction.jta.JtaTransactionManager@132adabf
[12/04/2017 21:28:53,573] [] [INFO] [org.springframework.web.context.ContextLoader]:345 - Root WebApplicationContext: initialization completed in 38528 ms
[12/04/2017 21:28:55,396] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3033 - AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
[12/04/2017 21:28:55,401] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3043 - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
[12/04/2017 21:28:56,681] [] [INFO] [org.springframework.web.context.ContextLoader]:325 - Root WebApplicationContext: initialization completed in 41630 ms
[12/04/2017 21:28:57,625] [] [INFO] [org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean]:434 - Creating Service {http://travelio.es/ws4/v4/commonsws}TravelioCommonsServiceV4Service from class es.travelio.ws4.v4.commonsws.TravelioCommonsServiceV4
[12/04/2017 21:28:59,656] [] [INFO] [org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean]:434 - Creating Service {http://travelio.es/ws4/v4/commonsws}TravelioCommonsServiceV4Service from class es.travelio.ws4.v4.commonsws.TravelioCommonsServiceV4
[12/04/2017 21:28:59,752] [] [INFO] [org.apache.cxf.wsdl.service.factory.ReflectionServiceFactoryBean]:434 - Creating Service {http://travelio.es/ws4/v4/commonsws}TravelioCommonsServiceV4Service from class es.travelio.ws4.v4.commonsws.TravelioCommonsServiceV4
